Time,MeanTimeInSystem
2010.991733368106,477.13396640358434
3612.472025772543,840.8139220546984
4731.334245802865,1101.7767547738104
7383.949475000933,1704.9485178000418
3852.8317009163225,894.421753275507
771.2367521793885,194.6102397708958
2073.9001608686976,489.40780722268266
2775.155903206037,649.1257873140323
4734.655812606138,1101.7767547738104
9333.39677322,2150.250778167686
7659.9119572955415,1775.0888096673448
6807.801306437685,1576.739470183154
1722.0364581467004,406.19635512862544
4644.218574278528,1081.305843037773
1329.663122211892,316.0951016153324
2184.059650175298,505.8243125656335
9312.833605506346,2142.247113385372
2922.3577796316185,678.1962747131578
8703.210597489266,2005.0922254554307
7047.775249791037,1634.8172295051022
3120.723720418481,725.0927669417378
4008.585336695868,935.7115228695515
9018.511658266434,2078.0512725309227
3105.442930375983,720.7690562902881
2808.473348952075,653.1910190420685
7254.571407700641,1684.3942129439527
5022.252394998704,1163.8301393574711
888.5489768288687,221.90540679668604
5367.085856979254,1246.1725472857402
6537.63533630021,1518.1960294679923
9678.791312488363,2222.346810154711
1758.2333569372015,410.33730825678265
8898.593924641178,2053.8024060350353
3813.855868623165,881.9122543619935
3714.3824183031766,865.5032686646473
1218.1773857814007,295.9608686155768
8298.948738336012,1917.0469039588768
2418.5480576815994,565.3712566424629
2820.1756753253035,657.4423810657651
3645.505660195531,844.9398787857766
8385.040053823526,1941.0085041322068
2994.6635996333293,695.1165139522708
6975.611763320995,1614.1529098834653
4095.5078780273925,952.3109893780402
4185.884973352765,968.8341538697599
5646.363169753313,1308.6610487219873
8460.92805890708,1956.9281799182409
9687.710790997095,2230.263076223666
3432.6358357350005,795.2897157408335
3837.797126654597,894.421753275507
1998.2031808815514,468.8624520446641
4296.173730100119,997.866816248164
4662.881260918303,1081.305843037773
6294.392262985661,1455.4529032148882
4824.989200124322,1122.3974551700048
1605.35716379777,377.4481591796346
8448.540928922102,1956.9281799182409
3960.765952780923,923.4012294433724
3903.915321107131,906.8627841958195
2556.7677075093056,599.0717010403857
1887.471614509876,444.034332365161
9534.907559632424,2186.344001634289
300.9372261371056,96.56933946062736
6516.428580515273,1505.613491060123
2979.346299913161,690.8600422282922
1077.7404342182801,263.7280760180894
984.0321711202064,234.98305122799562
9780.715183311531,2250.0109087808128
4563.029109408017,1056.3698018032485
8751.858387058594,2017.2981588702003
7884.974266849161,1828.265954367211
2247.983081971604,522.8630874880917
3141.8307333976963,733.5706550819888
6762.808120614372,1564.2238110472479
7269.231000875154,1684.3942129439527
8823.1382358864,2033.567335959691
7368.585943260046,1704.9485178000418
9717.888340370926,2234.189479998941
1491.1165626330576,353.3502165173419
5535.0735707994745,1287.7907434149063
7785.76998631264,1803.7723478525681
8967.312780630706,2069.9556032122473
7401.482342671729,1713.2192306193065
4176.073079025004,964.6482534279792
7842.168084229927,1816.0506021596143
1488.5580153359024,353.3502165173419
5196.095133264904,1205.1610525235988
5388.333258168563,1250.3313973534134
5283.147821467286,1229.8707316987739
6834.377526289979,1585.0838225996172
2331.808271076656,544.3668390501581
4344.663859782985,1010.3792539287525
1974.6057365256936,460.48619631029777
4614.018038161845,1068.8564176822072
4662.574858593851,1081.305843037773
2529.0104694828983,590.7314427973166
